mass,fa
8.00,37.36
8.00,37.36
7.19,37.37
8.43,37.37
9.72,37.37
7.00,37.37
8.00,37.37
5.60,37.38
6.60,37.38
7.10,37.38
5.90,37.39
8.33,37.39
8.50,37.39
9.72,37.39
5.43,37.40
5.89,37.40
7.46,37.40
9.75,37.40
7.10,37.40
10.81,37.40
6.90,37.41
8.35,37.41
8.75,37.41
6.20,37.42
6.58,37.42
12.09,37.43
7.56,37.43
7.00,37.44
7.90,37.44
6.60,37.44
8.35,37.44
6.90,37.45
7.50,37.45
6.60,37.45
7.79,37.45
8.48,37.45
8.00,37.46
8.00,37.46
8.50,37.46
6.70,37.46
7.50,37.46
11.85,37.47
6.60,37.47
6.69,37.47
7.11,37.47
6.93,37.47
9.03,37.47
6.70,37.48
6.94,37.48
5.94,37.48
6.74,37.48
11.87,37.48
10.58,37.48
6.50,37.49
7.10,37.49
5.32,37.50
5.71,37.50
5.95,37.50
6.11,37.50
6.17,37.50
6.30,37.50
6.35,37.50
7.36,37.50
6.00,37.50
7.09,37.51
7.80,37.51
7.12,37.52
6.50,37.53
7.97,37.53
6.79,37.54
6.99,37.54
6.01,37.54
9.58,37.54
7.25,37.54
8.90,37.54
7.60,37.55
6.85,37.55
7.65,37.55
7.81,37.55
6.90,37.56
8.30,37.56
7.00,37.56
7.21,37.56
6.50,37.56
6.50,37.56
7.10,37.57
8.74,37.57
8.77,37.57
10.56,37.57
6.65,37.57
7.00,37.58
8.60,37.58
8.90,37.58
6.75,37.58
7.13,37.58
6.60,37.59
9.00,37.59
6.40,37.60
6.80,37.60
7.65,37.60
7.00,37.61
6.89,37.61
11.56,37.61
7.20,37.61
7.00,37.61
8.52,37.62
8.94,37.63
7.58,37.63
7.40,37.63
9.50,37.63
8.60,37.64
8.38,37.64
10.40,37.64
13.57,37.64
7.00,37.64
7.50,37.64
6.50,37.65
11.10,37.65
10.80,37.65
6.04,37.66
7.24,37.66
8.10,37.67
7.60,37.68
8.26,37.68
8.90,37.68
7.20,37.68
6.64,37.69
7.21,37.69
7.78,37.69
6.80,37.70
7.90,37.70
6.34,37.72
6.60,37.72
7.21,37.72
7.90,37.72
8.40,37.72
7.22,37.73
8.72,37.73
11.64,37.73
8.96,37.73
10.02,37.73
7.30,37.73
6.80,37.74
6.99,37.74
7.35,37.74
8.42,37.74
8.47,37.75
12.47,37.75
7.20,37.76
7.66,37.76
6.40,37.77
6.76,37.77
8.22,37.78
8.28,37.78
6.56,37.79
5.95,37.79
6.48,37.79
6.61,37.79
9.38,37.79
10.00,37.79
7.60,37.80
11.40,37.80
8.20,37.80
6.56,37.81
7.30,37.81
11.35,37.81
6.90,37.82
7.70,37.82
7.36,37.82
7.90,37.83
